policy_id;policy_state;policy_deductible;policy_annual_premium;insured_age;insured_sex;insured_education_level;insured_occupation;insured_hobbies;incident_date;incident_type;collision_type;incident_severity;authorities_contacted;incident_state;incident_city;incident_hour_of_the_day;number_of_vehicles_involved;bodily_injuries;witnesses;police_report_available;claim_amount;total_claim_amount;suspicion_score;motif_suspicion
POL127476;OH;400;1041.29;59;OTHER;Masters;Clerk;yachting;28/07/2024;Single Vehicle Collision;Front;Total Loss;inconnu;IL;Tanyatown;4;3;1;0;No;23463.5;24933.76;160.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Horaire atypique
POL127907;MI;1000;827.73;66;FEMALE;High School;Engineer;hiking;21/04/2024;Multi-vehicle Collision;Front;Total Loss;inconnu;FL;Charlesmouth;5;4;4;0;No;25750.93;24296.07;160.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Horaire atypique
POL110638;PA;800;951.82;21;OTHER;College;Sales;reading;04/07/2025;Vehicle Theft;Rear;Major Damage;Ambulance;FL;Lake Brianland;0;3;1;0;No;24365.79;21250.86;158.0;Montant de reclamation extreme (>= P95) | Montant total eleve (>= P75) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Horaire atypique
POL114760;NY;200;729.75;68;MALE;High School;Sales;paintball;12/06/2024;Vehicle Theft;Rear;Minor Damage;inconnu;TX;West Morgan;2;3;3;0;No;23118.11;19843.83;158.0;Montant de reclamation extreme (>= P95) | Montant total eleve (>= P75) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Horaire atypique
POL106290;PA;1000;854.43;47;FEMALE;Masters;Manager;paintball;31/12/2024;Parked Car;Rear;Total Loss;Police;MI;West Cassandra;9;1;0;0;No;23755.53;24495.63;157.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Gravite elevee sans blesse declare
POL121442;NC;700;959.82;32;FEMALE;College;Sales;chess;01/03/2024;Vehicle Theft;Unknown;Total Loss;Fire;TX;Lake Traci;0;2;3;0;No;25121.6;21036.74;157.0;Montant de reclamation extreme (>= P95) | Montant total eleve (>= P75) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol de vehicule de nuit | Aucun temoin et pas de rapport de police | Horaire atypique
POL101034;GA;1000;985.31;63;OTHER;College;Manager;reading;05/03/2025;Vehicle Theft;Side;Major Damage;Fire;CA;North Krista;2;2;3;2;No;27481.15;23953.15;155.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Horaire atypique
POL105030;CA;200;606.43;28;FEMALE;College;Sales;camping;24/09/2025;Vehicle Theft;Rear;Major Damage;inconnu;FL;Wardberg;0;1;0;1;No;25164.71;22801.87;155.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Gravite elevee sans blesse declare | Horaire atypique
POL105292;IL;200;720.91;44;OTHER;College;Manager;reading;06/05/2024;Multi-vehicle Collision;Rear;Total Loss;inconnu;PA;West Jasonbury;8;4;2;0;No;28330.09;24440.79;155.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve
POL112602;NY;500;695.75;35;MALE;High School;Engineer;hiking;10/08/2024;Vehicle Theft;Unknown;Total Loss;inconnu;GA;South Timothyfurt;11;4;3;0;No;24208.89;24389.75;155.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve
POL114902;CA;600;1254.09;55;FEMALE;High School;Teacher;movies;27/09/2024;Vehicle Theft;Side;Major Damage;Fire;TX;Taylorville;2;2;0;4;No;21613.71;24573.41;155.0;Montant de reclamation tres eleve (>= P90) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Gravite elevee sans blesse declare | Horaire atypique
POL115112;IL;700;788.42;35;MALE;High School;Clerk;chess;07/09/2024;Vehicle Theft;Unknown;Total Loss;Fire;CA;Hernandezfort;14;4;4;0;No;27250.26;24213.61;155.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve
POL122535;NC;200;1425.21;48;FEMALE;Masters;Manager;paintball;24/05/2025;Vehicle Theft;Front;Total Loss;Police;IL;South Renee;1;1;0;1;No;26628.82;22686.43;155.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Gravite elevee sans blesse declare | Horaire atypique
POL122637;CA;600;833.61;59;OTHER;College;Clerk;paintball;22/04/2025;Multi-vehicle Collision;Rear;Total Loss;Fire;NC;Millerborough;20;4;4;0;No;23349.03;24769.58;155.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve
POL126870;CA;300;623.53;50;OTHER;Masters;Clerk;reading;12/12/2023;Vehicle Theft;Front;Total Loss;Police;GA;Tammystad;3;1;2;4;No;26325.33;23984.65;155.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Horaire atypique
POL100983;OH;400;733.21;35;OTHER;Masters;Sales;movies;26/04/2025;Vehicle Theft;Rear;Minor Damage;Ambulance;PA;Dayside;1;3;1;4;No;26508.38;22565.02;153.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL105286;NC;300;1259.47;26;MALE;High School;Teacher;camping;12/01/2024;Parked Car;Front;Major Damage;Ambulance;CA;Mcleanbury;14;3;0;0;No;25388.56;24450.66;153.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare | Voiture garee avec trop de vehicules impliques
POL107300;PA;600;795.56;23;OTHER;PhD;Teacher;chess;24/04/2025;Vehicle Theft;Front;Minor Damage;Fire;NC;West Williammouth;3;3;2;5;No;21520.0;24734.91;153.0;Montant de reclamation tres eleve (>= P90) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL107631;MI;800;619.05;52;OTHER;College;Engineer;yachting;12/10/2024;Vehicle Theft;Side;Total Loss;inconnu;GA;Kingside;0;4;2;2;No;25349.94;23294.41;153.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL111875;NY;800;710.11;72;FEMALE;PhD;Engineer;yachting;12/06/2024;Vehicle Theft;Rear;Minor Damage;Ambulance;NY;Adamsborough;3;3;2;5;No;22010.02;24443.75;153.0;Montant de reclamation tres eleve (>= P90) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL116318;MI;600;679.98;53;MALE;High School;Sales;movies;09/03/2025;Vehicle Theft;Front;Total Loss;inconnu;PA;Mckinneyhaven;5;3;2;5;No;26184.59;22805.6;153.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL116452;TX;700;1029.93;61;MALE;College;Clerk;yachting;22/07/2024;Vehicle Theft;Front;Major Damage;Fire;NC;Brentview;0;3;1;5;No;21373.44;24953.26;153.0;Montant de reclamation tres eleve (>= P90) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL124524;GA;200;831.36;64;MALE;College;Engineer;camping;11/05/2024;Vehicle Theft;Front;Major Damage;Police;PA;Lake Marymouth;0;3;0;4;No;23453.3;20470.9;153.0;Montant de reclamation extreme (>= P95) | Montant total eleve (>= P75) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare | Horaire atypique
POL124653;CA;200;1418.47;42;OTHER;High School;Sales;camping;08/12/2024;Vehicle Theft;Rear;Minor Damage;Police;TX;East Stephanie;0;3;3;1;No;27389.16;23403.32;153.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL124965;NY;400;1166.94;53;OTHER;College;Engineer;hiking;21/02/2024;Vehicle Theft;Front;Minor Damage;Ambulance;NC;Williamsland;5;4;4;2;No;27112.12;22979.23;153.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL125998;PA;1000;1490.22;75;MALE;Masters;Doctor;chess;16/05/2024;Vehicle Theft;Front;Major Damage;Police;FL;Lake Kimberlyhaven;0;4;3;4;No;27489.07;23146.26;153.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL126649;IL;600;787.78;49;MALE;PhD;Engineer;camping;15/04/2024;Vehicle Theft;Front;Minor Damage;Fire;NC;Perrymouth;4;4;4;1;No;23642.15;23286.47;153.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL110345;IL;700;897.33;47;MALE;High School;Doctor;chess;28/03/2024;Vehicle Theft;Side;Total Loss;Fire;PA;Powersport;6;2;1;0;No;25240.97;23357.18;152.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police
POL110404;MI;600;914.45;54;OTHER;High School;Doctor;chess;14/05/2024;Parked Car;Side;Total Loss;inconnu;GA;New Connie;23;2;1;0;No;23197.05;24102.14;152.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Horaire atypique
POL100813;FL;700;624.34;54;FEMALE;High School;Sales;reading;21/05/2024;Vehicle Theft;Side;Total Loss;Police;MI;Port Kevinchester;11;4;4;0;No;23706.3;21415.29;150.0;Montant de reclamation extreme (>= P95) | Montant total eleve (>= P75) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve
POL103228;GA;200;1004.77;51;FEMALE;PhD;Sales;paintball;04/05/2024;Vehicle Theft;Side;Total Loss;Police;OH;West Lindaville;17;3;0;0;No;21408.46;19426.66;150.0;Montant de reclamation tres eleve (>= P90) | Montant total eleve (>= P75) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare
POL107095;CA;600;1339.96;48;MALE;High School;Engineer;camping;05/09/2024;Single Vehicle Collision;Front;Total Loss;Police;CA;Lake Carl;0;4;2;0;No;27339.83;23762.27;150.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Horaire atypique
POL108675;MI;300;633.6;67;OTHER;Masters;Doctor;hiking;22/11/2023;Vehicle Theft;Rear;Total Loss;Fire;MI;East Lisaberg;9;4;4;0;No;23960.42;21984.29;150.0;Montant de reclamation extreme (>= P95) | Montant total eleve (>= P75) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve
POL109349;TX;600;1190.03;55;OTHER;Masters;Sales;reading;28/05/2024;Vehicle Theft;Front;Total Loss;Ambulance;MI;Port Jessica;12;3;4;0;No;22149.84;22900.7;150.0;Montant de reclamation tres eleve (>= P90) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve
POL114764;NC;200;1059.49;72;MALE;College;Sales;movies;18/08/2024;Vehicle Theft;Side;Total Loss;Police;NY;Coreyside;6;3;2;0;No;22267.61;23476.61;150.0;Montant de reclamation tres eleve (>= P90) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve
POL100998;NY;300;1355.74;42;OTHER;PhD;Clerk;paintball;05/12/2023;Vehicle Theft;Unknown;Minor Damage;Police;TX;Andrewland;4;3;3;2;No;28708.89;24958.99;148.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Nombre de vehicules impliques eleve | Horaire atypique
POL105630;PA;700;1335.02;41;OTHER;PhD;Teacher;camping;16/10/2025;Vehicle Theft;Unknown;Total Loss;inconnu;CA;Codyfort;1;3;0;3;No;26411.08;23354.51;148.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare | Horaire atypique
POL109100;TX;800;1411.26;48;OTHER;High School;Sales;camping;06/08/2025;Vehicle Theft;Unknown;Total Loss;inconnu;OH;East Craig;4;4;3;3;No;23276.6;24748.27;148.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Nombre de vehicules impliques eleve | Horaire atypique
POL109261;TX;500;722.87;56;OTHER;PhD;Doctor;reading;08/03/2025;Vehicle Theft;Rear;Major Damage;inconnu;NC;East Valerie;11;4;0;0;No;26720.69;22863.76;148.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare
POL112160;FL;800;641.31;73;FEMALE;PhD;Engineer;yachting;13/02/2024;Vehicle Theft;Front;Minor Damage;Fire;GA;Lake Lisa;12;4;2;0;No;28032.39;24775.76;148.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve
