policy_id;policy_state;policy_deductible;policy_annual_premium;insured_age;insured_sex;insured_education_level;insured_occupation;insured_hobbies;incident_date;incident_type;collision_type;incident_severity;authorities_contacted;incident_state;incident_city;incident_hour_of_the_day;number_of_vehicles_involved;bodily_injuries;witnesses;police_report_available;claim_amount;total_claim_amount;fraud_reported;suspicion_score;motif_suspicion
POL112127;OH;800;1045.43;18;FEMALE;College;Lawyer;camping;06/11/2024;Vehicle Theft;Side;Total Loss;Fire;FL;West Katherinechester;4;4;3;0;No;15119.12;14359.3;N;98.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL113681;NC;500;615.51;22;FEMALE;PhD;Teacher;hiking;15/03/2024;Vehicle Theft;Rear;Total Loss;Police;GA;Christopherland;1;3;0;0;No;2784.49;4132.25;N;98.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL119812;MI;800;700.64;20;OTHER;PhD;Teacher;movies;23/02/2025;Vehicle Theft;Front;Total Loss;Inconnu;PA;Haneybury;4;3;3;0;No;1908.39;2604.18;N;98.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL121442;NC;700;959.82;32;FEMALE;College;Sales;chess;01/03/2024;Vehicle Theft;Unknown;Total Loss;Fire;TX;Lake Traci;0;2;3;0;No;25121.6;21036.74;N;98.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Montant de reclamation extreme (>= P95) | Montant eleve sans rapport de police
POL121744;NY;700;1457.54;18;FEMALE;Masters;Technician;movies;09/11/2024;Vehicle Theft;Front;Total Loss;Inconnu;FL;Blaketon;3;2;2;0;No;12619.8;12719.05;Y;98.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL128540;GA;700;752.51;21;OTHER;PhD;Clerk;camping;26/09/2024;Vehicle Theft;Rear;Total Loss;Fire;NY;Hughesbury;1;4;1;0;No;10178.93;13438.56;Y;98.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL128685;CA;200;1110.2;21;MALE;PhD;Sales;reading;20/04/2025;Vehicle Theft;Side;Total Loss;Fire;FL;North Elizabethshire;3;1;3;0;No;3165.81;4650.36;Y;98.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL103280;FL;600;1055.84;22;FEMALE;College;Sales;paintball;26/06/2025;Multi-vehicle Collision;Front;Total Loss;Police;MI;Markville;9;1;4;0;No;24500.15;23875.78;N;96.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Montant eleve sans rapport de police | Conducteur jeune (16-25 ans)
POL105668;IL;500;980.14;69;MALE;College;Clerk;chess;01/09/2024;Vehicle Theft;Rear;Total Loss;Police;NY;Port Kevinton;1;3;3;0;Yes;13953.63;24379.08;Y;95.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Montant total extreme (>= P95)
POL110345;IL;700;897.33;47;MALE;High School;Doctor;chess;28/03/2024;Vehicle Theft;Side;Total Loss;Fire;PA;Powersport;6;2;1;0;No;25240.97;23357.18;N;95.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol declare avec collision renseignee (incoherent) | Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Montant eleve sans rapport de police
POL116288;FL;700;1216.27;63;OTHER;High School;Engineer;camping;31/01/2025;Vehicle Theft;Front;Total Loss;Inconnu;NY;Brucemouth;2;1;2;0;Yes;22992.63;19468.84;N;95.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Montant de reclamation extreme (>= P95)
POL101010;GA;1000;1468.49;20;FEMALE;High School;Engineer;reading;07/10/2025;Vehicle Theft;Front;Total Loss;Inconnu;OH;South Ashley;1;3;3;0;Yes;18468.05;19823.5;N;93.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL104078;PA;300;1043.33;22;OTHER;Masters;Technician;paintball;04/08/2024;Vehicle Theft;Side;Total Loss;Ambulance;NY;Ericahaven;3;2;3;0;Yes;7163.87;9708.45;N;93.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL105727;FL;600;983.71;20;OTHER;High School;Engineer;yachting;30/08/2024;Vehicle Theft;Rear;Total Loss;Inconnu;OH;Jasonbury;3;2;2;0;Yes;10200.6;13052.45;N;93.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL107044;CA;200;1408.42;18;FEMALE;Masters;Manager;camping;28/06/2024;Vehicle Theft;Front;Total Loss;Police;TX;North Hollyfurt;4;4;2;0;Yes;7021.89;7969.36;N;93.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL107381;NC;300;1241.31;63;MALE;Masters;Sales;hiking;07/03/2024;Vehicle Theft;Unknown;Total Loss;Police;TX;West Gregside;3;1;2;0;Yes;28843.95;24677.07;N;93.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95)
POL112140;IL;1000;1204.44;25;MALE;High School;Manager;yachting;15/08/2025;Vehicle Theft;Side;Total Loss;Fire;OH;Allentown;3;3;2;0;Yes;13958.86;18709.82;Y;93.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL112470;PA;500;600.85;25;MALE;PhD;Technician;yachting;10/04/2025;Vehicle Theft;Rear;Total Loss;Ambulance;FL;North Arthur;1;2;2;0;Yes;6975.47;9212.68;N;93.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL121466;TX;1000;920.03;22;FEMALE;College;Teacher;camping;25/03/2024;Vehicle Theft;Front;Total Loss;Inconnu;GA;Brianton;3;2;1;0;Yes;9694.84;11496.93;Y;93.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL128963;PA;400;1474.9;21;MALE;High School;Lawyer;yachting;06/12/2024;Vehicle Theft;Rear;Total Loss;Fire;PA;Lake John;3;2;1;0;Yes;7090.98;11051.9;Y;93.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL129876;NY;300;1223.37;25;OTHER;Masters;Doctor;chess;01/06/2024;Vehicle Theft;Rear;Total Loss;Police;FL;South John;1;1;0;0;Yes;1635.44;2692.4;N;93.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL118020;PA;400;1040.11;22;FEMALE;PhD;Teacher;movies;10/04/2024;Parked Car;Front;Total Loss;Police;NC;Aprilland;8;3;2;0;No;21294.16;21112.39;N;91.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Montant de reclamation tres eleve (>= P90) | Montant eleve sans rapport de police | Conducteur jeune (16-25 ans) | Voiture garee avec trop de vehicules impliques
POL125539;NC;700;1329.98;23;OTHER;PhD;Lawyer;chess;09/08/2025;Parked Car;Side;Total Loss;Police;MI;Holmesshire;13;4;2;0;Yes;23490.9;24468.47;N;91.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Conducteur jeune (16-25 ans) | Voiture garee avec trop de vehicules impliques
POL100813;FL;700;624.34;54;FEMALE;High School;Sales;reading;21/05/2024;Vehicle Theft;Side;Total Loss;Police;MI;Port Kevinchester;11;4;4;0;No;23706.3;21415.29;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol declare avec collision renseignee (incoherent) | Montant de reclamation extreme (>= P95) | Montant eleve sans rapport de police
POL102061;GA;800;820.54;57;OTHER;PhD;Manager;movies;21/08/2025;Vehicle Theft;Rear;Total Loss;Fire;PA;West Ashleyview;5;3;2;0;No;11440.04;19325.24;Y;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL102281;CA;1000;1241.37;29;MALE;College;Clerk;movies;06/08/2025;Vehicle Theft;Rear;Total Loss;Fire;PA;Mcclureborough;2;3;2;0;No;3204.38;5393.73;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL102558;TX;800;1347.1;35;OTHER;High School;Engineer;reading;19/07/2025;Vehicle Theft;Rear;Total Loss;Inconnu;FL;Williamsberg;5;1;0;0;No;19924.53;18199.53;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL105302;PA;600;1422.45;55;MALE;College;Manager;paintball;23/11/2024;Vehicle Theft;Side;Total Loss;Inconnu;TX;Ramirezfurt;2;1;0;0;No;17020.51;18779.07;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL105829;NY;700;1171.67;71;MALE;PhD;Engineer;hiking;28/09/2025;Vehicle Theft;Front;Total Loss;Police;NY;East Angelaberg;0;3;2;0;No;7314.98;14066.0;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL106179;CA;1000;1368.28;45;OTHER;Masters;Engineer;paintball;20/12/2024;Vehicle Theft;Front;Total Loss;Police;PA;South Amanda;4;3;3;0;No;9661.68;14159.63;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL107544;TX;600;1182.58;64;FEMALE;High School;Technician;camping;14/08/2025;Vehicle Theft;Rear;Total Loss;Fire;GA;Nicholasshire;22;1;1;0;No;24855.58;21299.81;Y;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol declare avec collision renseignee (incoherent) | Montant de reclamation extreme (>= P95) | Montant eleve sans rapport de police
POL108120;GA;600;1262.77;68;OTHER;PhD;Sales;paintball;25/03/2025;Vehicle Theft;Front;Total Loss;Fire;OH;Johnberg;5;2;2;0;No;7528.89;14053.29;Y;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL108675;MI;300;633.6;67;OTHER;Masters;Doctor;hiking;22/11/2023;Vehicle Theft;Rear;Total Loss;Fire;MI;East Lisaberg;9;4;4;0;No;23960.42;21984.29;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol declare avec collision renseignee (incoherent) | Montant de reclamation extreme (>= P95) | Montant eleve sans rapport de police
POL109349;TX;600;1190.03;55;OTHER;Masters;Sales;reading;28/05/2024;Vehicle Theft;Front;Total Loss;Ambulance;MI;Port Jessica;12;3;4;0;No;22149.84;22900.7;Y;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol declare avec collision renseignee (incoherent) | Montant de reclamation tres eleve (>= P90) | Montant total tres eleve (>= P90) | Montant eleve sans rapport de police
POL109705;TX;600;938.69;46;FEMALE;PhD;Teacher;yachting;18/12/2023;Vehicle Theft;Front;Total Loss;Ambulance;PA;Gregoryfurt;3;2;3;0;No;1461.39;1247.6;Y;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL110261;CA;400;1021.71;45;FEMALE;PhD;Clerk;reading;07/06/2024;Vehicle Theft;Rear;Total Loss;Police;CA;West Tiffanyland;2;2;4;0;No;4346.69;3902.01;Y;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL112544;MI;300;680.58;54;OTHER;PhD;Teacher;paintball;21/07/2025;Vehicle Theft;Front;Total Loss;Ambulance;FL;New Rebecca;0;3;4;0;No;3592.21;6582.7;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL113861;CA;600;1357.06;73;MALE;PhD;Teacher;paintball;02/01/2025;Vehicle Theft;Front;Total Loss;Police;IL;Lake Brandon;1;2;3;0;No;831.43;1640.4;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL114764;NC;200;1059.49;72;MALE;College;Sales;movies;18/08/2024;Vehicle Theft;Side;Total Loss;Police;NY;Coreyside;6;3;2;0;No;22267.61;23476.61;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol declare avec collision renseignee (incoherent) | Montant de reclamation tres eleve (>= P90) | Montant total tres eleve (>= P90) | Montant eleve sans rapport de police
POL116701;IL;600;605.76;67;OTHER;College;Clerk;yachting;16/08/2024;Vehicle Theft;Front;Total Loss;Inconnu;GA;North Melissaton;14;3;0;0;No;22283.74;23602.96;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol declare avec collision renseignee (incoherent) | Montant de reclamation tres eleve (>= P90) | Montant total tres eleve (>= P90) | Montant eleve sans rapport de police
POL117436;OH;800;727.09;42;FEMALE;PhD;Teacher;camping;10/05/2025;Vehicle Theft;Rear;Total Loss;Inconnu;PA;Mackhaven;0;4;4;0;No;13040.45;11007.42;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL117667;NC;700;951.45;48;FEMALE;Masters;Teacher;movies;02/07/2025;Vehicle Theft;Rear;Total Loss;Ambulance;IL;New Nicole;5;4;4;0;No;16740.17;17905.99;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL118398;NC;300;632.5;48;MALE;College;Technician;yachting;10/05/2024;Vehicle Theft;Front;Total Loss;Fire;MI;West Eddieshire;4;1;1;0;No;10867.15;16869.13;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL118472;OH;800;1084.0;74;OTHER;High School;Doctor;paintball;01/02/2025;Vehicle Theft;Rear;Total Loss;Ambulance;TX;Lake Justinview;0;3;3;0;Yes;21415.09;20724.6;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Montant de reclamation tres eleve (>= P90)
POL118816;PA;700;776.18;74;FEMALE;College;Clerk;paintball;28/10/2025;Vehicle Theft;Side;Total Loss;Inconnu;CA;Katherineland;5;2;3;0;Yes;21640.68;20849.1;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Montant de reclamation tres eleve (>= P90)
POL118997;IL;700;693.03;34;OTHER;College;Teacher;yachting;19/07/2025;Vehicle Theft;Rear;Total Loss;Fire;NY;Port Jessica;5;1;3;0;No;10230.7;15654.92;Y;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL119455;IL;700;875.86;46;MALE;High School;Engineer;reading;26/02/2024;Vehicle Theft;Front;Total Loss;Fire;MI;Lake Karen;1;1;1;0;No;8097.28;9875.1;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL122431;MI;300;1307.88;36;MALE;Masters;Engineer;chess;31/07/2024;Vehicle Theft;Front;Total Loss;Police;PA;Deniseborough;3;4;4;0;No;2199.42;2247.56;Y;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL122876;PA;700;1062.42;28;MALE;High School;Manager;reading;16/01/2024;Vehicle Theft;Front;Total Loss;Police;NC;North Jenniferhaven;0;1;0;0;No;11666.28;10194.58;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL124662;OH;800;1094.96;58;OTHER;College;Manager;movies;27/11/2024;Vehicle Theft;Rear;Total Loss;Police;PA;West Randall;0;4;4;0;No;1796.91;2171.08;Y;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL125099;NY;300;933.25;31;FEMALE;High School;Sales;movies;15/08/2025;Vehicle Theft;Side;Total Loss;Police;PA;Sullivanfurt;2;1;3;0;No;6357.0;8470.18;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL125617;MI;300;1126.78;66;OTHER;College;Technician;movies;17/06/2024;Vehicle Theft;Rear;Total Loss;Ambulance;NC;Hamiltontown;2;4;2;0;No;1886.64;2966.31;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL125850;MI;800;1023.02;54;OTHER;Masters;Engineer;yachting;25/10/2025;Vehicle Theft;Side;Total Loss;Ambulance;OH;Keithburgh;1;4;2;0;No;14633.25;16211.79;Y;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL128798;GA;1000;1418.62;39;OTHER;High School;Lawyer;reading;28/10/2024;Vehicle Theft;Front;Total Loss;Police;IL;North Michelleview;2;2;4;0;No;2749.7;4377.9;N;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
POL129045;PA;700;1280.47;42;OTHER;PhD;Engineer;hiking;21/11/2024;Vehicle Theft;Front;Total Loss;Inconnu;IL;Bondton;3;4;4;0;No;5738.87;5607.37;Y;90.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent)
